"section_number","section_title","core_files","expected_files","section_type","section_dependencies","ground_truth","template_instructions","transformed_output","reasoning"
"9.6","Safety Analysis","Synopsis","","","3.1, 6.4, 6.5","Specify which analysis population will be used for safety analyses.
Include the coding dictionary to be used for AEs (eg, MedDRA, COSTART).
Specify the study method or measurement that will be used to collect the data needed to determine whether the safety endpoints have been achieved.
Describe the statistical methods that will be used to calculate and summarize each safety endpoint: AEs, safety laboratory parameters, vital signs, ECGs, and all other safety endpoints described in Section 6.4. Do discuss statistical analysis of AEs and all safety endpoints described in Section 6.4. Do not list the specific hematology, chemistry, urinalysis, or coagulation parameters.
Do not describe the methods for collection of safety data. Do not describe the AE severity grading system. Do not describe the assessment of AE relationship to study drug(s). Do not describe the assessment of AE outcomes. Do not describe the schedule of events. Do not mention specific visits. Do not mention endpoints that are not safety endpoints. Do not define the safety analysis population. Do not describe SAE reporting. Do not describe dose adjustments for the study drug(s). Do not describe the length of AE follow-up. Do not describe DSMB or other committee activities.","","",""
"9.7","Other Assessments Or Analyses","Synopsis","","","3.1, 6.3, 6.4, 6.2, 6.11","Describe only the planned statistical analyses for the assessments described in Section 6.11, eg, quality of life assessments.
Do not describe the screening or baseline assessments defined in Section 6.2. Do not discuss the efficacy assessments defined in Section 6.3. If the efficacy assessments include any immunological assessments, do not describe any immunological assessments in this section. Do not describe disease status. Do not describe the safety assessments defined in Section 6.4. Do not describe the primary analyses. Do not discuss efficacy testing. Do not discuss the sample size calculations. Do not discuss the analysis of the primary or secondary endpoints. Do not describe assessments not specified in the synopsis. Do not describe severity grading of AEs.","","",""
"9.8","Interim Analysis","Synopsis","","","3.1","Describe the frequency and nature of any planned interim analyses, any specified circumstances in which the study would be terminated, and any statistical adjustments to be employed because of interim analyses.
This section describes any interim analyses and criteria for stopping or adapting the trial. The description should inclue, but is not limited to, the following:
- Any interim analysis plan, even if it is only to be performed at the request of an oversight body, such as an IDMC or DSMB.
- Describe and reference the applied statistical method (e.g., group sequential test, spending function)
- Who will perform the analyses
- When they will be conducted (timing and/or triggers)
- The decision criteria (statistical or other) that will be adopted to judge the interim results as part of a guideline for early stopping or other adaptations
- Who will see the outcome data while the trial is ongoing
- Whether these individuals will remain blinded to trial groups
- How the integrity of the trial implementation will be protected when any adaptations to the trial are made
- Who has the ultimate authority to stop or modify the trial (e.g., investigator, PI, IDMC, DSMB, sponsor)
- The stopping guidelines
- The pre-specified interim analyses are to be used for other trial adaptations such as sample size re-estimation, alteration to the proportion of participants allocated to each trial group, and changes to eligibility criteria. 
Do not describe safety monitoring and reporting. Do not discuss sample size calculations. Do not describe dose adjustments for the study drug(s). Do not describe the number of participants. Do not discuss the overall study design. Do not discuss the length of participant follow-up. Do not describe the time of study termination. Do describe reporting to the DSMB.","","",""
"10","ADMINISTRATIVE CONSIDERATIONS","Synopsis","","Heading","","","","",""
"10.1","Investigators And Study Administrative Structure","Synopsis","","","","Insert a table to provide the name and contact information of the PrincipaI or Coordinating Investigator and the Medical Monitor as follows:
""|Principal or Coordinating Investigator|Medical Monitor|
|-----------------------------------------------------------|--------------------------|
|Principal or Coordinating Investigator's Name, degree, title|Medical Monitor's Name, degree, title|
|Principal or Coordinating Investigator's Institution Name|Medical Monitor's Institution Name| 
|Principal or Coordinating Investigator's Address|Medical Monitor's Address|
|Principal or Coordinating Investigator's Phone Number|Medical Monitors' Phone Number|
|Principal or Coordinating Investigator's Email|Medical Monitor's Email|""
First, provide information about the Principal or Coordinating Investigator(s) and the Medical Monitor.
In addition, briefly describe any study leadership committees (eg, Steering Committee, Executive Committee, Subcommittee) and their roles. Note that it is not necessary to list specific members. Also, describe country-specific administrative requirements or functions that materially affect the conduct of the study. The MOP should include a list of study team roles and responsibilities of those involved in the conduct, management, or oversight of the trial.
List the name, title, address, and phone number of the principal or coordinating Investigator who is responsible for overseeing the conduct of the trial. If multiple Investigators participated, this information may be placed in an appendix to this protocol.
List the name, title, address, and telephone number of the qualified physician (or dentist, if applicable) who is responsible for all trial site-related medical decisions (if this person is different from the Principal or Coordinating Investigator).
List the names and addresses of the clinical laboratories and other medical or technical departments or institutions involved in the trial.
List the names, titles, addresses, and other relevant contact information not described above (eg, for any steering committee, data monitoring committee, contract research organization, or clinical trial supply management source).
Note that the participantâ€™s primary care physician may be notified of study participation.
Do not discuss randomization. Do not discuss historical data about where the study drug has been studied previously.
Do not discuss participant follow-up. Do not discuss SAE reporting. Do not describe what the DSMB or other committee(s) will do during the study. Do not describe the purpose of the study. Do not describe the study endpoints. Do not describe the assessments to be performed in the study. Do not list laboratory parameters. Do not describe administration or dosage of study drug(s). Do not describe dose modifications. Do not discuss inclusion criteria and exclusion criteria. Do not discuss informed consent. Do not describe the Principal or Coordinating Investigator's responsibilities related to study assessments including laboratory assays. 
Do not copy the synopsis in this section.","","",""
"10.2","Institutional Review Board or Independent Ethics Committee Approval","Synopsis","","","","Example text provided as a guide, customize as needed:
[Federal regulations and the ICH guidelines require that approval be obtained for each clinical site from an <IRB/IEC> before participation of human subjects in research studies. Before study onset, the protocol, informed consent form, and any other written information regarding this study to be provided to the subject or the subjectâ€™s legal guardian must be approved by the <IRB/IEC>, and written confirmation of such approval must be received by the site. Documentation of all approvals and of the <IRB/IEC> compliance with ICH Guidelines for GCP E6 (R3) will be maintained by the site and will be available for review by the Sponsor or its designees.
All approvals should be signed by the <IRB/IEC> chair or designee and must identify the <IRB/IEC> by name and address, the clinical protocol by title or protocol number or both, and the date approval or favorable opinion was granted.]

Update <IRB/IEC> placeholder based on country(ies) where study will be conducted: 
- IRB(s) (sites US)
- IEC(s) (sites EU and other)
- REB(s) (sites Canada)","","",""
"10.3","Ethical conduct of the study","Synopsis","","","","Example text provided as a guide, customize as needed:
[The Investigators will ensure that this study is conducted in full conformity with the Declaration of Helsinki, the ICH GCP regulations and guidelines, principles of The Belmont Report: Ethical Principles and Guidelines for the Protection of Human Subjects of Research, National Commission for the Protection of Human Subjects of Biomedical and Behavioral Research (April 18, 1979), and codified in the United States (US) Code of Federal Regulations (CFR), title 45 CFR 46, 21 CFR 50 and 56, and ICH E6 (R3); 62 Federal Regulations 25692 (1997), as applicable.]","","",""
"10.4","Subject Information and Consent","Synopsis","","","4.1","Example text provided as a guide, customize as needed (remove ""and assent form (as applicable)""/""and assent form""/""or assent (for subjects < 18 years old)"" if the study does not include minors):

[Each subject will be provided a written informed consent form (ICF) <and assent form (as applicable)>, describing this study and providing sufficient information to make an informed decision about participation in this study.
A copy of the proposed ICF <and assent form> must be submitted to the Sponsor and/or designee for review prior to submission to the reviewing <IRB/IEC>. The ICF <and assent form> must be approved by the <IRB/IEC> and must contain all elements required by federal, state, local, and institutional regulations or requirements. Institutions in the US must be in compliance with Health Insurance Portability and Accountability Act of 1996 (HIPAA) with regard to obtaining authorizations for use and disclosure of Protected Health Information.
The study, including its goals, methods, expected benefits, and potential hazards will be completely explained to each prospective study subject. It will also be explained to subjects that they are free to refuse entry or to withdraw from the study at any time without prejudice to future treatment. Voluntary informed consent <or assent (for subjects < 18 years old)> must be obtained from each eligible subject (and/or legally authorized representative if the subject is mentally incompetent or physically incapacitated) before any protocol-defined procedures are performed.
The subjectâ€™s willingness to participate in this study will be documented on the <IRB/IEC>-approved ICF <and assent form> (as applicable) which must be signed and dated by the subject or legally acceptable surrogate, and the physician Investigator (Principal or sub-Investigator). The Investigator will keep the original ICF <and assent form (as applicable)> and a copy will be given to the subject. The process for obtaining informed consent should also be noted in the subjectâ€™s source documentation.]

Update <IRB/IEC> placeholder based on: 
- IRB(s) (sites US)
- IEC(s) (sites EU and other)
- REB(s) (sites Canada)
","","",""
"10.5","Subject Confidentiality","Synopsis","","","","Example text provided as a guide, customize as needed:

[Subject confidentiality and privacy is strictly held in trust by the participating Investigators, their staff, and the Sponsor(s) and their interventions. This confidentiality is extended to cover testing of biological samples and genetic tests in addition to the clinical information relating to subjects. Therefore, the study protocol, documentation, data, and all other information generated will be held in strict confidence. No information concerning the study, or the data will be released to any unauthorized third party without prior written approval of the Sponsor.
All research activities will be conducted in as private a setting as possible.
The study monitor, other authorized representatives of the Sponsor, representatives of the IRB/IEC, regulatory agencies or pharmaceutical company supplying study product may inspect all documents and records required to be maintained by the Investigator, including but not limited to, medical records (office, clinic, or hospital) and pharmacy records for the subjects in this study. The clinical study site will permit access to such records.
The study subjectsâ€™ contact information will be securely stored at each clinical site for internal use during the study. At the end of the study, all records will continue to be kept in a secure location for as long a period as dictated by the reviewing IRB/IEC, institutional policies, or Sponsor requirements.
Study subject research data, which is for purposes of statistical analysis and scientific reporting, will be transmitted to and stored at the <specify name of DCC>. This will not include the subjectsâ€™ contact or identifying information. Rather, individual subjects and their research data will be identified by a unique study identification number. The study data entry and study management systems used by clinical sites and by <specify name of DCC> research staff will be secured and password-protected. At the end of the study, all study databases will be de-identified and archived at the <specify name of DCC>.]
","","",""
"10.6","Study Monitoring","Synopsis","","","","Example text provided as a guide, customize as needed:

[Clinical site monitoring is conducted to ensure that the rights and well-being of trial subjects are protected, that the reported trial data are accurate, complete, and verifiable, and that the conduct of the trial is in compliance with the currently approved protocol/amendment(s), with ICH GCP, and with applicable regulatory requirement(s).
Monitoring for this study will be performed by <enter monitoring entity>.
<Monitoring entity> will be provided copies of monitoring reports within <x> days of a monitoring visit.
Details of clinical site monitoring are documented in a Clinical Monitoring Plan (CMP). The CMP describes in detail who will conduct the monitoring, at what frequency monitoring will be done, at what level of detail monitoring will be performed, and the distribution of monitoring reports.
Independent audits <will/will not> be conducted by <enter auditing entity> to ensure monitoring practices are performed consistently across all participating sites and that monitors are following the CMP.]
Describe monitoring of the clinical site(s) using the example text above. Do not describe safety monitoring. Do not describe SAE reporting and AE reporting. Do not describe the visit schedule. Do not describe long-term follow-up. Do not describe DSMB or other committee activities. Do no describe collection of AEs, TEAEs, or SAEs.","","",""
"10.7","Data Collection And Management Responsibilities","Synopsis","","","","Example text provided as a guide, customize as needed:
[Data collection is the responsibility of the clinical trial staff at the site under the supervision of the site Investigator. The Investigator is responsible for ensuring the accuracy, completeness, legibility, and timeliness of the data reported.
All source documents should be completed in a neat, legible manner to ensure accurate interpretation of data.
Hardcopies of the study visit worksheets will be provided for use as source document worksheets for recording data for each subject enrolled in the study. Data recorded in the electronic case report form (eCRF) derived from source documents should be consistent with the data recorded on the source documents.
Clinical data (including AEs, concomitant medications, and expected adverse reactions data) and clinical laboratory data will be entered into <specify name of data capture system>, a 21 CFR Part 11-compliant data capture system provided by the <specify DCC>. The data system includes password protection and internal quality checks, such as automatic range checks, to identify data that appear inconsistent, incomplete, or inaccurate. Clinical data will be entered directly from the source documents.]
","","",""
"10.8","Case Report Forms and Study Records","Synopsis","","","","Example text provided as a guide, customize as needed:
[All eCRFs will be completed according to eCRF completion guidelines. The Investigator must electronically sign and date a declaration on the eCRF attesting to his/her responsibility for the quality of all data recorded and that the data represent a complete and accurate record of each subjectâ€™s participation in the study. An electronic copy of the completed eCRF will then be sent to the Investigator to be retained for their records.]

Describe case report forms and study records using the example text above. This section should NOT enumerate the different types of data to be captured during the study except in the context of data transfer specifications (e.g., ECG data will be transferred to Central Reading Lab X). This section should NOT contain information about clinical staff training or quality management systems, or monitoring of study data. This section should NOT contain details of procedures and should not contain anything about sample handling/processing. Retention of data should not be described here. Anything relating to Quality assurance should NOT go in this section. Do not list laboratory parameters. Do not list efficacy parameters.","","",""
"10.9","Data Monitoring Committee","Synopsis","","","","Example text provided as a guide, customize as needed:
[Safety oversight will be under the direction of a <Data and Safety Monitoring Board (DSMB)> composed of individuals with the appropriate expertise, including <list expertise>. Members of the <DSMB> should be independent from the study conduct and free of conflict of interest, or measures should be in place to minimize perceived conflict of interest. The <DSMB> will meet at least semiannually to assess safety and efficacy data on each arm of the study. The <DSMB> will operate under the rules of an approved charter that will be written and reviewed at the organizational meeting of the <DSMB>. At this time, each data element that the <DSMB> needs to assess will be clearly defined. The <DSMB> will provide its input to <specify the study Sponsor/National Institutes of Health staff/other>.]

If there is no data oversight committee, mark this section as not applicable. If the committee is called something else (eg, Safety Review Commitee (SRC), Data Monitoring Committee (DMC), Independent Data Monitoring Committee (IDMC)), replace ""DSMB"" in this section with the appropriate committee name.","","",""
"10.1","Protocol Violations And Deviations","Synopsis","","","","Example text provided as a guide, customize as needed:
[A protocol deviation is any noncompliance with the clinical trial protocol requirements. The noncompliance may committed by the subject, the Investigator, or the study site staff. As a result of deviations, corrective actions are to be developed by the site and implemented promptly.
These practices are consistent with ICH GCP E6 (R3):
-2.5 Compliance with Protocol.
-3.11 Quality Assurance and QC.
-3.12 Noncompliance.
It is the responsibility of the site Investigator to use continuous vigilance to identify and report deviations within <specify number> working days of identification of the protocol deviation, or within <specify number> working days of the scheduled protocol-required activity. All deviations must be addressed in study source documents, and reported to <specify DCC or Sponsor>. Protocol deviations must be sent to the reviewing IRB per their policies. The site Investigator is responsible for knowing and adhering to the reviewing IRB requirements. Further details about the handling of protocol deviations will be included in the Manual of Procedures.]

","","",""
"10.11","Access to Source Documentation","Synopsis","","","","Example text provided as a guide, customize as needed:
[Source documents provide evidence for the existence of the subject and substantiate the integrity of the data collected. Source documents including web-based documentation are to be filed at the study site.
Data reported and entered in the eCRF that are transcribed from source documents must be consistent with the source documents or the discrepancies must be explained. The Investigator may need to request previous medical records or transfer records, depending on the study. Also, current medical records must be available for all data collected in the eCRF.
For eCRFs that are direct data entry, the eCRFs will serve as the source document.
Refer to the Monitoring Plan for source data verification review and requirements.
Source documents are subject to inspection by the Sponsor or regulatory agencies including FDA. During audits and inspections, the Investigator must permit direct access to all of the source documentation and other documents pertinent to this study.]","","",""
"10.12","Data Generation and Analysis","Synopsis","","","","Use following text:

[The Investigators or his/her delegate will record and submit to the Sponsor the data collected under this protocol in the appropriate eCRFs via the EDC system. The Investigator or delegate shall satisfactorily resolve any data queries, errors, and omissions without undue
delay.
The database will be managed, audited, and locked for analysis in accordance with the Sponsorâ€™s clinical data management procedures and plans.]","","",""
"10.13","Retention of Data","Synopsis","","","","Use following text:
[Study documents should be retained for a minimum of 2 years after the last approval of a marketing application in an ICH region and until there are no pending or contemplated marketing applications in an ICH region or until at least 2 years have elapsed since the formal discontinuation of clinical development of the study intervention. These documents should be retained for a longer period, however, if required by local regulations. No records will be destroyed without the written consent of the Sponsor, if applicable. It is the responsibility of the Sponsor to inform the Investigator when these documents no longer need to be retained.]","","",""
"10.14","Financial Disclosure","Synopsis","","","","Example text provided as a guide, customize as needed:
[Investigators and sub-investigators will provide the Sponsor with sufficient, accurate financial information, as requested, to allow the Sponsor to submit complete and accurate financial certification or disclosure statements to the appropriate regulatory authorities. Investigators are responsible for providing information on financial interests during the study and for 1 year after completion of the study. ]","","",""
"10.15","Publication and Disclosure Policy","Synopsis","","","","Use the following example text without any changes:
[The Sponsor retains ownership of all data. All proposed publications based on this study must be approved by the Sponsor. 
The study will be registered in (an) international registry(ies) and the results will be loaded into the registry(ies) at the end of the study.]

This section should NOT contain information regarding the length of the follow-up. 
Do not describe safety reporting. Do not describe data collection and management. Do not discuss study endpoints (efficacy, safety, and other).","","",""
"11","REFERENCE LIST","Synopsis","","Heading","","","","",""
"Appendix 1","Appendix 1 Schedule of Events","Synopsis","","","","The study events table is intended as an aid for study site personnel and must therefore accurately reflect the type and timing of all study events.

The following table is provided as a sample study events table. Modify the content and add or delete rows as applicable for the protocol.

With studies that require frequent measurements, the Study Events Table may be best displayed on a landscaped page.

| Evaluation | Screening Days \-x to \-1 | Visit 1; Day 1 | Treatment Period |  |  |  |  |  | Follow-up |
| :---- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
|  |  |  | **Visit 2;Day x Â± x** | **Visit 3;Day x Â± x** | **Visit 4;Day x Â± x** | **Visit 5;Day x Â± x** | **Visit 6;Day x Â± x** | **Visit 7;Day x Â± x** | **Visit 8;Day x Â± x** |
| Informed Consent | X |  |  |  |  |  |  |  |  |
| Inclusion/Exclusion Criteria | X |  |  |  |  |  |  |  |  |
| Demographics | X |  |  |  |  |  |  |  |  |
| Medical History1 | X | X |  |  |  |  |  |  |  |
| Physical Examination | X2,3 | X4 |  |  |  |  |  |  | X2 |
| Urine Drug Screen5 | X | X |  |  |  |  |  |  |  |
| Pregnancy Test6 | X | X |  |  |  |  |  |  |  |
| Laboratory Tests7 | X |  |  |  | X |  |  |  | X |
| Randomization |  | X |  |  |  |  |  |  |  |
| Vital Signs8 | X | X |  |  | X | X |  | X | X |
| 12-Lead ECG | X | X | X | X | X | X |  | X | X |
| Drug Administration |  | X | X | X | X | X | X |  |  |
| Drug Accountability |  |  |  |  |  |  |  | X |  |
| AE Assessment |  | X | X | X | X | X | X | X | X |
| Conmed Assessment |  | X | X | X | X | X | X | X | X |
| Include a review of previous/ongoing medications. Complete examination, including assessments of the skin, head, eyes, ears, nose, throat, neck, thyroid, lungs, heart, abdomen, lymph nodes, extremities, and body weight. Height will be measured at screening only. Partial examination, to update findings from the examination performed at screening. Includes amphetamines, barbiturates, cocaine metabolites, opiates, benzodiazipines, cannabinoids, and cotinine. Only for female subjects who are not diagnosed as postmenopausal. Include serum chemistry, hematology (including coagulation), and urinalysis. Include blood pressure, pulse, respiratory rate, and oral temperature. |  |  |  |  |  |  |  |  |  |
","","",""
"Appendix 2","Study Drug Preparation and Dispensing Instructions","Synopsis","","","","This Appendix should only be included if the study drug preparation and dispensing instructions are highly complex and no Pharmacy Manual is planned for the study. Instructions should be provided by the Sponsor and inserted verbatim. If this appendix is not used, delete it.","","",""
"Appendix 3","Adverse Events: Definitions And Procedures For Recording, Evaluating, Follow-up and Reporting","Synopsis","Investigators Brochure, Industry Literature, Guidelines","","","Insert the following text without making any changes.
Adverse Event Definition
An AE is any untoward medical occurrence in a subject administered a pharmaceutical product, irrespective of the whether the event is considered treatment related. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease concurrent with the use of the study drug, whether or not related to the study. This includes any newly occurring event, or a pre-existing condition judged by the Investigator to have worsened in severity or frequency since the administration of study drug. Any medical condition that is present at the time that the participant is screened will be considered as baseline and not reported as an AE; however, if the trial participantâ€™s condition worsens at any time during the trial, it will be recorded as an AE.
Severity Assessment of Adverse Events
For AEs not included in the protocol-defined grading system, the following guidelines will be used to describe severity:
-Mild â€“ Events require minimal or no treatment and do not interfere with the subjectâ€™s daily activities.
-Moderate â€“ Events result in a low level of inconvenience or concern with the therapeutic measures. Moderate events may cause some interference with functioning.
-Severe â€“ Events interrupt a subjectâ€™s usual daily activity and may require systemic drug therapy or other treatment. Severe events are usually potentially life-threatening or incapacitating. Of note, the term â€œsevereâ€ does not equate to â€œseriousâ€.
Relationship of Adverse Events to Study Treatment
All AEs must have their relationship to study intervention assessed by the clinician who examines and evaluates the subject based on temporal relationship and his/her clinical judgment. The degree of certainty about causality will be graded using the categories below. In a clinical trial, the study product must always be suspect.
-Related â€“ The AE is known to occur with the study intervention, there is a reasonable possibility that the study intervention caused the AE, or there is a temporal relationship between the study intervention and event. Reasonable possibility means that there is evidence to suggest a causal relationship between the study intervention and the AE.
-Not Related â€“ There is not a reasonable possibility that the administration of the study intervention caused the event, there is no temporal relationship between the study intervention and event onset, or an alternate etiology has been established.
OR
-Definitely Related â€“ There is clear evidence to suggest a causal relationship, and other possible contributing factors can be ruled out. The clinical event, including an abnormal laboratory test result, occurs in a plausible time relationship to study intervention administration and cannot be explained by concurrent disease or other drugs or chemicals. The response to withdrawal of the study intervention (dechallenge) should be clinically plausible. The event must be pharmacologically or phenomenologically definitive, with use of a satisfactory rechallenge procedure if necessary.
-Probably Related â€“ There is evidence to suggest a causal relationship, and the influence of other factors is unlikely. The clinical event, including an abnormal laboratory test result, occurs within a reasonable time after administration of the study intervention, is unlikely to be attributed to concurrent disease or other drugs or chemicals, and follows a clinically reasonable response on withdrawal (dechallenge). Rechallenge information is not required to fulfill this definition.
-Possibly Related â€“ There is some evidence to suggest a causal relationship (eg, the event occurred within a reasonable time after administration of the trial medication). However, other factors may have contributed to the event (eg, the subjectâ€™s clinical condition, other concomitant events). Although an AE may rate only as â€œpossibly relatedâ€ soon after discovery, it can be flagged as requiring more information and later be upgraded to â€œprobably relatedâ€ or â€œdefinitely relatedâ€, as appropriate.
-Unlikely to be related â€“ A clinical event, including an abnormal laboratory test result, whose temporal relationship to study intervention administration makes a causal relationship improbable (eg, the event did not occur within a reasonable time after administration of the study intervention) and in which other drugs or chemicals or underlying disease provides plausible explanations (eg, the subjectâ€™s clinical condition, other concomitant treatments).
-Not Related â€“ The AE is completely independent of study intervention administration, and/or evidence exists that the event is definitely related to another etiology. There must be an alternative, definitive etiology documented by the clinician.
Expectedness of Adverse Events
The Investigator will be responsible for determining whether an AE is expected or unexpected. An AE will be considered unexpected if the nature, severity, or frequency of the event is not consistent with the risk information previously described for the study intervention.""
<Insert previous AEs reported for the study intervention from the Investigator's Brochure and/or previous clinical trials>
Treatment-Emergent Adverse Events
TEAEs are defined as an event that emerges during treatment, having been absent pretreatment, or worsens relative to the pretreatment state.
Serious Adverse Event Definition
An SAE is any unfavorable medical occurrence reported at any dose if it:
-Results in death.
-Is life-threatening. The term â€œlife-threateningâ€ in the definition of â€œseriousâ€ refers to an event in which the participant was at risk of death at the time of the event. It does not refer to an event that hypothetically might have caused death if it were more severe.
-Requires inpatient hospitalization or prolongation of existing hospitalization. Planned hospitalization for a pre-existing condition, or a procedure required by the protocol, without serious deterioration in health, is not considered an SAE.
-Results in persistent or significant disability/incapacity. The term disability means a substantial disruption of a personâ€™s ability to conduct normal life functions. This definition is not intended to include experiences of relatively minor medical significance such as uncomplicated headache, nausea, vomiting, diarrhea, influenza-like illness, and accidental trauma (e.g., sprained ankle) that may interfere or prevent everyday life functions but that do not constitute a substantial disruption.
-Is a congenital anomaly/birth defect.
Important medical events that may not result in death, be life-threatening, or require hospitalization may be considered an SAE when, based upon appropriate medical judgment, they may jeopardize the participant and may require medical or surgical intervention to prevent one of the outcomes listed in this definition. Examples of such medical events include allergic bronchospasm requiring intensive treatment in an emergency department or at home, blood dyscrasias or convulsions that do not result in inpatient hospitalization, or the development of substance dependency or substance abuse.
Serious Adverse Event Follow-Up
 The Investigator must respond to all queries received from the Sponsor and must submit follow-up reports for all SAEs to the Sponsor or Sponsorâ€™s designee regarding the subjectâ€™s subsequent course. All SAEs must be followed until:
-The SAE is resolved, or
-Stabilized (eg, in the case of persistent impairment), or
-Subject death, or
-Subject is lost to follow-up.
SAE follow-up information should be recorded in the source documents and SAE/CRF forms as applicable.""","","",""
"Appendix 4","Prohibited Concomitant Medications","Synopsis","Investigators Brochure, Industry Literature, Guidelines","","","Include a table of prohibited concomitant medications as an appendix if the list is long and if there is a potential for error. Do not mention whether the protocol includes an appendix with a prohibited medications table. Do not mention interactions with drugs that are not administered as part of the protocol.
Sample text follows (table to be completed using source documents):
The following medications are prohibited during the study:
|Trade Name                  |   Trade Name(s) |
|Generic Name                |                 | 
-----------------------------------------------
|Antibiotics                 |                 |
...
...","","",""
"Appendix 5","Contraceptive and Barrier Guidance","Synopsis","Industry Literature, Guidelines","","","Insert the following text verbatim:
""Definitions
Woman of Childbearing Potential (WOCBP)
Women in the following categories are considered WOCBP (fertile):
-Following menarche
-From the time of menarche until becoming postmenopausal unless permanently sterile (see below)
-A postmenopausal state is defined as no menses for 12 months without an alternative medical cause.
-A high follicle-stimulating hormone (FSH) level in the postmenopausal range may be used to confirm a postmenopausal state in women not using hormonal contraception or hormonal replacement therapy (HRT). However, in the absence of 12 months of amenorrhea, confirmation with more than one FSH measurement <[insert threshold if required (> 40 IU/L or mIU/mL) or remove to allow for flexibility with different local thresholds for defining postmenopausal state> is required.
-Female subjects on HRT and whose menopausal status is in doubt will be required to use one of the nonestrogen hormonal highly effective contraception methods if they wish to continue their HRT during the study. Otherwise, they must discontinue HRT to allow confirmation of postmenopausal status before study enrollment.
-Permanent sterilization methods (for the purpose of this study) include:
-Documented hysterectomy.
-Documented bilateral salpingectomy.
-Documented bilateral oophorectomy.
-For individuals with permanent infertility due to an alternate medical cause other than the above, (eg, Mullerian agenesis, androgen insensitivity, gonadal dysgenesis), Investigator discretion should be applied to determining study entry.
Note: Documentation can come from the site personnelâ€™s review of the subjectâ€™s medical records, medical examination, or medical history interview.
-If fertility is unclear (eg, amenorrhea in adolescents or athletes) and a menstrual cycle cannot be confirmed before the first dose of study intervention, additional evaluation should be considered.
Contraceptive Guidance
Table 2 	Contraceptives Allowed During Study Participation
CONTRACEPTIVES ALLOWED DURING THE STUDY INCLUDE:
Highly Effective Methodsb That Have Low User Dependency
-Implantable progestogen-only hormone contraception associated with inhibition of ovulation.
-Intrauterine device.
-Intrauterine hormone-releasing systemc.
-Bilateral tubal occlusion.
-Azoospermic partner (vasectomized or due to a medical cause).
Azoospermia is a highly effective contraceptive method provided that the partner is the sole sexual partner of the WOCBP and the absence of sperm has been confirmed. If not, an additional highly effective method of contraception should be used. Spermatogenesis cycle is approximately 90 days.
Note: documentation of azoospermia for a male subject can come from the site personnelâ€™s review of the subjectâ€™s medical records, medical examination, or medical history interview.
Highly Effective Methodsb That Are User Dependent
-Combined (estrogen- and progestogen-containing) hormonal contraception associated with inhibition of ovulation:
-Oral.
-Intravaginal.
-Transdermal.
-Injectable.
Progestogen-only hormone contraception associated with inhibition of ovulationc:
-Oral.
-Injectable.
-Sexual abstinence.
Sexual abstinence is considered a highly effective method only if defined as refraining from heterosexual intercourse during the entire period of risk associated with the study intervention. The reliability of sexual abstinence needs to be evaluated in relation to the duration of the study and the preferred and usual lifestyle of the subject.
-Contraceptive use by men or women should be consistent with local regulations regarding the use of contraceptive methods for those participating in clinical studies.
-Failure rate of < 1% per year when used consistently and correctly. Typical use failure rates differ from those when used consistently and correctly.
-Male condoms must be used in addition to hormonal contraception. If locally required, in accordance with Clinical Trial Facilitation Group (CTFG) guidelines, acceptable contraceptive methods are limited to those which inhibit ovulation as the primary mode of action.
Note: Periodic abstinence (calendar, symptothermal, postovulation methods), withdrawal (coitus interruptus), spermicides only, and lactational amenorrhea method are not acceptable methods of contraception for this study. Male condom and female condom should not be used together (due to risk of failure from friction).""","","",""
"Appendix 6","European Union Specific Regulatory Considerations","Synopsis","","","","Insert the following text:
""Note: if the study does not involve any clinical sites in the EU, this appendix can be deleted or marked ""Not Applicable.""
General Considerations
The study will be conducted in accordance with the protocol, European Union (EU) Regulation 536/2014 (Clinical Trials Regulation [CTR]) and Good Clinical Practice (GCP).
EU Trial Number
The study has been registered in the EU under EU Trial Number <insert EU trial number>.
Subject Data Protection
In accordance with GCP and with national data protection laws, all information concerning the subjects in the clinical trial must be treated as strictly confidential by all persons involved in the clinical trial. All activities related to EU citizen data will be conducted in accordance with the applicable requirements of the EU 2016/679 General Data Protection Regulation (GDPR) and regional data protection requirements. Data collected in the clinical trial will be recorded and forwarded to the Sponsor or its designee as per applicable law. The site shall grant access to subjectsÂ´ data to participating IECs, authorized sponsor representatives (such as monitors and auditors) and regulatory authorities, for auditing and regulatory purposes as required by applicable law.
The Investigator and the Sponsor will ensure that the collection, use, storage and disclosure of protected health and personal information obtained during a clinical trial complies with all applicable EU Member State privacy laws and regulations, including but not limited to the EU GDPR. Data protection in accordance with EU GDPR is applicable even if EU citizen data are transferred to other countries outside EU. Authorization is required from each research subject (i.e., specific permission granted by an individual for the use or disclosure of an individualâ€™s protected personal or health information) as per applicable law.""
","","",""
